exp_id,max_frames,weights_fn,tracker_type,track_high_thresh,track_low_thresh,new_track_thresh,track_buffer,match_thresh,HOTA,DetA,AssA,DetRe,DetPr,AssRe,AssPr,LocA,OWTA,HOTA(0),LocA(0),HOTALocA(0),Dets,GT_Dets,IDs,GT_IDs
yw_yp,10000,best-yulun.pt,bytetrack,0.5,0.05,0.2,40,0.5,18.255,89.941,3.7166,92.068,94.246,3.7595,85.869,92.554,18.495,19.498,91.997,17.938,97689,100000,1691,10
yw_dp,10000,best-yulun.pt,bytetrack,0.5,0.1,0.6,30,0.8,34.751,90.527,13.363,93.099,93.599,16.543,53.978,92.143,35.271,37.641,91.379,34.396,99465,100000,77,10
ow_yp,10000,best-organizers.pt,bytetrack,0.5,0.05,0.2,40,0.5,25.155,93.012,6.8166,94.778,96.168,6.9602,84.469,94.239,25.416,26.329,93.851,24.71,98555,100000,1064,10
ow_dp,10000,best-organizers.pt,bytetrack,0.5,0.1,0.6,30,0.8,40.108,93.489,17.223,95.501,95.801,23.397,50.747,93.936,40.556,42.326,93.503,39.576,99687,100000,47,10
ow_buff20,10000,best-organizers.pt,bytetrack,0.5,0.1,0.6,20,0.8,40.108,93.489,17.223,95.501,95.801,23.397,50.747,93.936,40.556,42.326,93.503,39.576,99687,100000,47,10
ow_buff30,10000,best-organizers.pt,bytetrack,0.5,0.1,0.6,30,0.8,40.108,93.489,17.223,95.501,95.801,23.397,50.747,93.936,40.556,42.326,93.503,39.576,99687,100000,47,10
ow_buff40,10000,best-organizers.pt,bytetrack,0.5,0.1,0.6,40,0.8,40.108,93.489,17.223,95.501,95.801,23.397,50.747,93.936,40.556,42.326,93.503,39.576,99687,100000,47,10
ow_buff50,10000,best-organizers.pt,bytetrack,0.5,0.1,0.6,50,0.8,40.108,93.489,17.223,95.501,95.801,23.397,50.747,93.936,40.556,42.326,93.503,39.576,99687,100000,47,10
ow_buff20,10000,best-organizers.pt,bytetrack,0.5,0.1,0.6,20,0.8,40.108,93.489,17.223,95.501,95.801,23.397,50.747,93.936,40.556,42.326,93.503,39.576,99687,100000,47,10
ow_buff30,10000,best-organizers.pt,bytetrack,0.5,0.1,0.6,30,0.8,40.108,93.489,17.223,95.501,95.801,23.397,50.747,93.936,40.556,42.326,93.503,39.576,99687,100000,47,10
ow_buff40,10000,best-organizers.pt,bytetrack,0.5,0.1,0.6,40,0.8,40.108,93.489,17.223,95.501,95.801,23.397,50.747,93.936,40.556,42.326,93.503,39.576,99687,100000,47,10
ow_buff50,10000,best-organizers.pt,bytetrack,0.5,0.1,0.6,50,0.8,40.108,93.489,17.223,95.501,95.801,23.397,50.747,93.936,40.556,42.326,93.503,39.576,99687,100000,47,10
ow_match_thr0_7,10000,best-organizers.pt,bytetrack,0.5,0.1,0.6,30,0.7,41.298,93.206,18.316,95.317,95.698,21.106,69.557,93.948,41.783,43.661,93.403,40.78,99602,100000,120,10
ow_match_thr0_8,10000,best-organizers.pt,bytetrack,0.5,0.1,0.6,30,0.8,40.108,93.489,17.223,95.501,95.801,23.397,50.747,93.936,40.556,42.326,93.503,39.576,99687,100000,47,10
ow_match_thr0_9,10000,best-organizers.pt,bytetrack,0.5,0.1,0.6,30,0.9,41.24,93.368,18.23,95.453,95.718,24.764,48.804,93.904,41.714,43.608,93.425,40.741,99723,100000,33,10
ow_match_thr0_4,10000,best-organizers.pt,bytetrack,0.5,0.1,0.6,30,0.4,16.325,91.313,2.9241,92.846,96.561,2.9521,89.1,94.575,16.476,17.031,94.225,16.047,96153,100000,3334,10
ow_match_thr0_5,10000,best-organizers.pt,bytetrack,0.5,0.1,0.6,30,0.5,25.331,93.015,6.9121,94.781,96.167,7.0557,84.659,94.238,25.594,26.512,93.85,24.882,98559,100000,1061,10
ow_match_thr0_6,10000,best-organizers.pt,bytetrack,0.5,0.1,0.6,30,0.6,34.679,93.415,12.894,95.315,95.956,13.409,81.085,94.055,35.056,36.427,93.647,34.113,99332,100000,368,10
ow_match_thr0_4,10000,best-organizers.pt,bytetrack,0.5,0.1,0.6,30,0.4,16.325,91.313,2.9241,92.846,96.561,2.9521,89.1,94.575,16.476,17.031,94.225,16.047,96153,100000,3334,10
ow_match_thr0_5,10000,best-organizers.pt,bytetrack,0.5,0.1,0.6,30,0.5,25.331,93.015,6.9121,94.781,96.167,7.0557,84.659,94.238,25.594,26.512,93.85,24.882,98559,100000,1061,10
ow_match_thr0_6,10000,best-organizers.pt,bytetrack,0.5,0.1,0.6,30,0.6,34.679,93.415,12.894,95.315,95.956,13.409,81.085,94.055,35.056,36.427,93.647,34.113,99332,100000,368,10
ow_buff100,10000,best-organizers.pt,bytetrack,0.5,0.1,0.6,100,0.8,40.108,93.489,17.223,95.501,95.801,23.397,50.747,93.936,40.556,42.326,93.503,39.576,99687,100000,47,10
ow_buff150,10000,best-organizers.pt,bytetrack,0.5,0.1,0.6,150,0.8,40.108,93.489,17.223,95.501,95.801,23.397,50.747,93.936,40.556,42.326,93.503,39.576,99687,100000,47,10
ow_buff200,10000,best-organizers.pt,bytetrack,0.5,0.1,0.6,200,0.8,40.038,93.489,17.163,95.501,95.801,23.276,50.827,93.936,40.485,42.247,93.503,39.502,99687,100000,47,10
ow_tht04,10000,best-organizers.pt,bytetrack,0.4,0.1,0.6,30,0.8,40.108,93.489,17.223,95.501,95.801,23.397,50.747,93.936,40.556,42.326,93.503,39.576,99687,100000,47,10
ow_tht05,10000,best-organizers.pt,bytetrack,0.5,0.1,0.6,30,0.8,40.108,93.489,17.223,95.501,95.801,23.397,50.747,93.936,40.556,42.326,93.503,39.576,99687,100000,47,10
ow_tht06,10000,best-organizers.pt,bytetrack,0.6,0.1,0.6,30,0.8,40.108,93.489,17.223,95.501,95.801,23.397,50.747,93.936,40.556,42.326,93.503,39.576,99687,100000,47,10
test_ow_tht02,100,best-organizers.pt,bytetrack,0.2,0.1,0.6,30,0.8,78.152,86.658,70.503,89.668,91.034,72.597,91.649,90.078,79.475,88.336,88.996,78.616,985,1000,15,10
test_ow_tht03,100,best-organizers.pt,bytetrack,0.3,0.1,0.6,30,0.8,78.152,86.658,70.503,89.668,91.034,72.597,91.649,90.078,79.475,88.336,88.996,78.616,985,1000,15,10
ow_tht09,100,best-organizers.pt,bytetrack,0.9,0.1,0.6,30,0.8,78.152,86.662,70.501,89.674,91.039,72.593,91.645,90.078,79.475,88.336,88.997,78.617,985,1000,15,10
ow_tlt001,10000,best-organizers.pt,bytetrack,0.5,0.01,0.6,30,0.8,40.108,93.488,17.223,95.501,95.801,23.396,50.746,93.936,40.556,42.326,93.502,39.576,99687,100000,47,10
ow_tlt002,10000,best-organizers.pt,bytetrack,0.5,0.02,0.6,30,0.8,40.108,93.488,17.223,95.501,95.801,23.396,50.746,93.936,40.556,42.326,93.502,39.576,99687,100000,47,10
ow_tlt003,10000,best-organizers.pt,bytetrack,0.5,0.03,0.6,30,0.8,40.108,93.488,17.223,95.501,95.801,23.396,50.746,93.936,40.556,42.326,93.502,39.576,99687,100000,47,10
ow_tlt004,10000,best-organizers.pt,bytetrack,0.5,0.04,0.6,30,0.8,40.108,93.488,17.223,95.501,95.801,23.396,50.746,93.936,40.556,42.326,93.502,39.576,99687,100000,47,10
ow_ntt02,10000,best-organizers.pt,bytetrack,0.5,0.1,0.2,30,0.8,40.108,93.49,17.223,95.502,95.801,23.396,50.746,93.937,40.556,42.326,93.503,39.576,99688,100000,47,10
ow_ntt03,10000,best-organizers.pt,bytetrack,0.5,0.1,0.3,30,0.8,40.108,93.49,17.223,95.502,95.801,23.396,50.746,93.937,40.556,42.326,93.503,39.576,99688,100000,47,10
ow_ntt04,10000,best-organizers.pt,bytetrack,0.5,0.1,0.4,30,0.8,40.108,93.49,17.223,95.502,95.801,23.396,50.746,93.937,40.556,42.326,93.503,39.576,99688,100000,47,10
ow_ntt05,10000,best-organizers.pt,bytetrack,0.5,0.1,0.5,30,0.8,40.108,93.49,17.223,95.502,95.801,23.396,50.746,93.937,40.556,42.326,93.503,39.576,99688,100000,47,10
8xw_dp,10000,best-8x100e.pt,bytetrack,0.5,0.1,0.6,30,0.8,39.121,92.562,16.55,94.684,94.974,21.832,48.207,93.247,39.585,41.682,92.712,38.644,99695,100000,46,10
tuned_dp,10000,best-tuned.pt,bytetrack,0.5,0.1,0.6,30,0.8,39.571,92.857,16.881,94.899,95.176,23.482,46.386,93.397,40.025,42.081,92.923,39.103,99709,100000,47,10
test1,150,best-organizers.pt,bytetrack,0.5,0.1,0.6,30,0.8,71.057,85.033,59.392,88.319,89.999,62.963,82.501,89.338,72.381,81.526,88.009,71.75,1472,1500,17,10
