exp_id,model,data,epochs,patience,batch,imgsz,save,save_period,cache,device,workers,project,name,exist_ok,pretrained,optimizer,verbose,seed,deterministic,single_cls,rect,cos_lr,close_mosaic,resume,amp,fraction,profile,freeze,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,warmup_bias_lr,box,cls,dfl,pose,kobj,label_smoothing,nbs,overlap_mask,mask_ratio,dropout,val,plots
yolov8n5e_dp,yolov8n.pt,ftc.yaml,5,50,16,640,True,-1,False,cpu,8,None,None,False,True,auto,True,0,True,False,False,False,10,False,True,1.0,False,None,0.01,0.01,0.937,0.0005,3.0,0.8,0.1,7.5,0.5,1.5,12.0,2.0,0.0,64,True,4,0.0,True,False
yolov8s5e_dp,yolov8s.pt,ftc.yaml,5,50,16,640,True,-1,False,cpu,8,None,None,False,True,auto,True,0,True,False,False,False,10,False,True,1.0,False,None,0.01,0.01,0.937,0.0005,3.0,0.8,0.1,7.5,0.5,1.5,12.0,2.0,0.0,64,True,4,0.0,True,False
yolov8m5e_dp,yolov8m.pt,ftc.yaml,5,50,16,640,True,-1,False,cpu,8,None,None,False,True,auto,True,0,True,False,False,False,10,False,True,1.0,False,None,0.01,0.01,0.937,0.0005,3.0,0.8,0.1,7.5,0.5,1.5,12.0,2.0,0.0,64,True,4,0.0,True,False
yolov8l5e_dp,yolov8l.pt,ftc.yaml,5,50,16,640,True,-1,False,cpu,8,None,None,False,True,auto,True,0,True,False,False,False,10,False,True,1.0,False,None,0.01,0.01,0.937,0.0005,3.0,0.8,0.1,7.5,0.5,1.5,12.0,2.0,0.0,64,True,4,0.0,True,False
yolov8x5e_dp,yolov8x.pt,ftc.yaml,5,50,16,640,True,-1,False,cpu,8,None,None,False,True,auto,True,0,True,False,False,False,10,False,True,1.0,False,None,0.01,0.01,0.937,0.0005,3.0,0.8,0.1,7.5,0.5,1.5,12.0,2.0,0.0,64,True,4,0.0,True,False
yolov8n200e_dp,yolov8n.pt,ftc.yaml,200,50,16,640,True,-1,False,cpu,8,None,None,False,True,auto,True,0,True,False,False,False,10,False,True,1.0,False,None,0.01,0.01,0.937,0.0005,3.0,0.8,0.1,7.5,0.5,1.5,12.0,2.0,0.0,64,True,4,0.0,True,False
yolov8s200e_dp,yolov8s.pt,ftc.yaml,200,50,16,640,True,-1,False,cpu,8,None,None,False,True,auto,True,0,True,False,False,False,10,False,True,1.0,False,None,0.01,0.01,0.937,0.0005,3.0,0.8,0.1,7.5,0.5,1.5,12.0,2.0,0.0,64,True,4,0.0,True,False
yolov8m200e_dp,yolov8m.pt,ftc.yaml,200,50,16,640,True,-1,False,cpu,8,None,None,False,True,auto,True,0,True,False,False,False,10,False,True,1.0,False,None,0.01,0.01,0.937,0.0005,3.0,0.8,0.1,7.5,0.5,1.5,12.0,2.0,0.0,64,True,4,0.0,True,False
yolov8l200e_dp,yolov8l.pt,ftc.yaml,200,50,16,640,True,-1,False,cpu,8,None,None,False,True,auto,True,0,True,False,False,False,10,False,True,1.0,False,None,0.01,0.01,0.937,0.0005,3.0,0.8,0.1,7.5,0.5,1.5,12.0,2.0,0.0,64,True,4,0.0,True,False
yolov8x200e_dp,yolov8x.pt,ftc.yaml,200,50,16,640,True,-1,False,cpu,8,None,None,False,True,auto,True,0,True,False,False,False,10,False,True,1.0,False,None,0.01,0.01,0.937,0.0005,3.0,0.8,0.1,7.5,0.5,1.5,12.0,2.0,0.0,64,True,4,0.0,True,False